EIN	Name
112553515	STONY BROOK ANAESTHESIOLOGY UNIVERSITY FACULTY PRACTICE CORPORATION
112558775	STONY BROOK INTERNISTS UNIVERSITY FACULTY PRACTICE CORPORATION
112561640	MEDGAR EVERS COLLEGE EDUCATIONAL FOUNDATION INC
112563303	PLAINVIEW MEDICAL STAFF SOCIETY INC
112569522	UNIVERSITY ASSOCIATES IN OBSTETRICS AND GYNECOLOGY UNIV FACULTY PRACTICE CORPORATION
112571524	STONY BROOK CHILDRENS SERVICE UNIVERSITY FACULTY PRACTICE CORPORATION
112587430	NEUROLOGY ASSOCIATES OF STONY BROOK UNIVERSITY FACULTY PRACTICE CORPORATION
112587515	NASSAU-SUFFOLK HOSPITAL SHARED SERVICES INC
112590096	STONY BROOK PSYCHIATRIC ASSOCIATES UNIVERSITY FACULTY PRACTICE CORPORATION
112593061	STONY BROOK ORTHOPAEDIC ASSOCIATES UNIVERSITY FACULTY PRACTICE CORPORATION
112597353	GRADUATE STUDENT ORGANIZATION OF SUNY AT STONY BROOK INC
112605238	ADJUNCT FACULTY ASSOCIATION AT NASSAU COMMUNITY COLLEGE
112614325	LUFTHANSA GERMAN AIRLINES EMPLOYEE HEALTH AND DISABILITY BEN PLAN TRUST
112620778	KINGSBOROUGH COMMUNITY COLLEGE FOUNDATION INC
112623857	ACADEMY OF MARKETING SCIENCE FOUNDATION LOUISIANA TECH UNIVERSITY
112629532	HOSPITAL CLINIC HOME CENTER INSTRUCTIONAL CORP
112644371	STONY BROOK UROLOGY UNIVERSITY FACULTY PRACTICE CORPORATION
112645930	NEW YORK SPINE AND BRAIN SURGERY UNIVERSITY FACULTY PRACTICE CORPORATION
112646820	ASSOCIATION OF COMMUNITY LIVING AGENCIES IN MENTAL HEALTH INC
112647243	STONY BROOK PATHOLOGISTS UNIVERSITY FACULTY PRACTICE CORPORATION
112658697	STONY BROOK OPHTHALMOLOGY UNIVERSITY FACULTY PRACTICE CORPORATION
112661731	LONG ISLAND VETERINARY MEDICAL ASSOCIATION INC
112664726	STONY BROOK RADIATION ONCOLOGY UNIVERSITY FACULTY PRACTICE CORPORATION
112664878	ANDHRA MEDICAL COLLEGE ALUMINI OF NORTH AMERICA INC
112673595	FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH
112676095	KINGSTON COLLEGE OLD BOYS ASSOCIATION USA INC KCOBA USA INC
112677339	COURT OFFICERS BENEVOLENT ASSOCIATION OF NASSAU COUNTY HEALTH AND WELFARE FUND
112694795	ST JOHNS UNIVERSITY STUDENT GOVERNMENT JAMAICA
112694906	AMERICAN FREINDS OF DARCHE NOAM INC - DAVID SHAPELL COLLEGE OF JEWISH STUDIES
112700062	MENTAL HEALTH PROVIDERS OF WESTERN QUEENS I
112705352	NEW YORK COLLEGE OF HEALTH PROFESSIONS
112708120	QUEENSBOROUGH COMMUNITY COLLEGE STUDENT ACTIVITIES ASSOCIATION INC
112708250	ELLA BAKERCHARLES ROMAIN CHILD DEVELOPMENT CTR OF MEDGAR EVERS COLLEGE
112716496	YORK COLLEGE AUXILIARY ENTERPRISES CORPORATION
112740481	RAZI HEALTH FOUNDATION INC
112743591	MCU MEDICAL FOUNDATION INC
112764737	CHILDRENS CENTER AT FARMINGDALE STATE UNIVERSITY OF NEW YORK
112765051	ASSOC FOR HEALTHCARE RISK MGT OF NY
112774102	SSH INC CO NORTHWELL HEALTH INC
112780360	MEDICAL EDUCATIONAL AND SCIENTIFIC FDN OF NY INC
112780554	STUDENT GOVERNMENT ASSOCIATION STATE UNIVERSITY OF NY COLLEGE AT OLD WESTBURY
112783861	COLLEGE ASSOCIATION OF NEW YORK CITY COLLEGE OF TECHNOLOGY INC
112785605	HEIGHTS HILL MENTAL HEALTH SERVICE SOUTH BEACH PSYCHIATRIC CENTER COMMUNITY ADV
112785757	SASS FOUNDATION FOR MEDICAL RES INC
112828494	STONY BROOK CHILD CARE SERVICES INC SUNY STONY BROOK
112831454	AMERICAN FRIENDS OF BNEI BRAK HOSPITAL INC
112833587	TBHC EMERGENCY MEDICINE PC CO THE BROOKLYN HOSPITAL CENTER
112833588	BROOKLYN HOSPITAL RADIOLOGY PC CO THE BROOKLYN HOSPITAL CENTER
112833590	TBHC MEDICAL SERVICES PC CO THE BROOKLYN HOSPITAL CENTER
112843882	PARK SLOPE MEDICAL SERVICE PC
112845058	KINGSBROOK HEALTHCARE FOUNDATION INC
112883910	CHILD DEVELOPMENT CENTER AT QUEENS COLLEGE INC
112905556	FRANCISCAN HEALTH PARTNERSHIP INC
112907961	CHILDRENS CENTER AT SUNY BROOKLYN INC
112911407	MEDGAR EVERS COLLEGE AUXILIARY ENTERPRISES CORPORATION
112916033	ST FRANCIS HOSPITAL FOUNDATION INC
112926477	HUNTINGTON HOSPITAL NURSES ASSOC
112931020	BROOKHAVEN MEMORIAL FEDERATION OF NURSES AND HEALTH PROFESSIONALS
112936410	BROOKLYN HOSPITAL FOUNDATION INC
112936954	RAJASTHAN MEDICAL ALUMNI ASSOINC
112950196	BROOKHAVEN HEALTH CARE SERVICES CORPORATION
112965575	NORTHWELL HEALTH FOUNDATION
112965586	NORTHWELL HEALTHCARE INC
112977428	WOODHULL MEDICAL AND MENTAL HEALTH CENTER AUXILIARY INC
112982792	PARK SLOPE CENTER FOR MENTAL HEALTH INC
112982841	YORK COLLEGE FOUNDATION
112983422	SUFFOLK COMMUNITY COLLEGE FOUNDATIONINC
113011790	STONY BROOK DERMATOLOGY ASSOCIATES UNIVERSITY FACULTY PRACTICE CORPORATION
113012392	ASSOCIATION FOR MENTAL HEALTH AND WELLNESS INC
113014132	NYC ELECTRICAL DIVISION HEALTH AND WELFARE FUND - RETIRED MEMBERS
113022873	KINGSBOROUGH COMMUNITY COLLEGE AUXILIARY ENTERPRISES CORPORATION
113028663	RIVKIN RADLER LLP COMPREHENSIVE MEDICAL
113029569	HEALTHFIRST HEALTH PLAN INC
113041480	PARKER JEWISH INSTITUTE FOR HEALTH CARE AND REHABILITATION FOUNDATION
113047351	JAMAICA COLLEGE ALUMNI ASSOCIATION USA INC
113059470	NARROWS INSTITUTE FOR BIOMEDICAL RESEARCH INC
113066770	STONY BROOK EMERGENCY PHYSICIANS UNIVERSITY FACULTY PRACTICE CORPORATION
113067201	NACHAS HEALTH AND FAMILY NETWORK INC
113077745	FIORELLO H LAGUARDIA COMMUNITY COLLEGE AUXILIARY ENTERPRISES CORPORATION
113095244	MEDICAL BENEFITS PLAN AND TRUST FOR THE FEDERATED-ALLIED RETIREES ASSOCIATION
113116446	RETIREES MEDICAL BENEFITS TRUST FOR CERTAIN RETIREES OF PAN AMERICAN WORLD
113117003	QUEENS COLLEGE ASSOCIATION
113153422	NEW YORK STATE CATHOLIC HEALTH PLANINC CO WILLIAM WHISTON
113174325	NEW YORK MENTAL HEALTH COUNSELORS ASSOC
113185372	ARTHUR ASHE INSTITUTE FOR URBAN HEALTH INC
113190652	UNIVERSITY PHYSICIANS OF BROOKLYN INC
113220548	FACULTY ASSOCIATION OF SUFFOLK COMMUNITY COLLEGE BENEFIT FUND
113235349	CITY UNIVERSITY OF NEW YORK SCHOOL OF LAW FOUNDATION INC
113251128	LONG ISLAND JEWISH MEDICAL CENTER AT HOME PHARMACY
113253292	MAURER FOUNDATION FOR BREAST HEALTH EDUCATION INC
113271735	LAGUARDIA COMMUNITY COLLEGE EARLY CHILDHOOD LEARNING CENTER PROGRAMS INC
113277961	BISHOP HUCLES NURSING HOME INC CO EPISCOPAL HEALTH SERVICES INC
113316802	MEDISYS HEALTH NETWORK INC
113318298	STOCKHOLM OBSTETRICS AND GYNECOLOGICAL SERVICES PC CO WYCKOFF HEIGHTS MEDICAL CENTER
113327219	BROOKLYN COLLEGE AUXILIARY ENTERPRISE CORPORATION
113330467	SRI LANKA MEDICAL ASSOCIATION OF NORTH AMERICA INC
113340969	JAMAICA HOSPITAL MEDICAL CENTER DIAGNOSTIC AND TREATMENT CENTER
113354023	NORTHERN METROPOLITAN FOUNDATION FOR HEALTH CARE INC
113354073	GAMLA COLLEGE
113358541	NEW YORK COLLEGE OF TRADITIONAL CHINESE MEDICINE
113368503	HUNTINGTON HOSPITAL DOLAN FAMILY HEALTH CEN
113395787	MEDICAL ADVERTISING HALL OF FAME INC
113403968	CATHOLIC HEALTH SYSTEM OF LONG ISLAND
113412370	NORTHWELL HEALTH LABORATORIES
113418133	NORTHWELL HEALTH INC
113423295	BROOKLYN UNITED METHODIST HEATH SERVICES FOUNDATION INC
113434265	NASSAU SUFFOLK HOSPITAL COUNCIL INC
113437602	WYCKOFF PROFESSIONAL MEDICAL SERVICES PC FKA WYCKOFF ORTHOPAEDIC PC
113440088	WYCKOFF HEIGHTS DENTAL SERVICES PC CO WYCKOFF HEIGHTS MEDICAL CENTER
113443720	NORTH FORK BREAST HEALTH COALITION
113453739	CORRECT HEALTH IN HAITI INC
113466516	SOUTHAMPTON HOSPITAL FOUNDATION INC
113473923	NORTH SHORE-LONG ISLAND JEWISH MEDICAL CARE CENTERS INC
113480435	UAW LOCAL 2179 HEALTH AND WELFARE PLAN
113488520	HEALTHCARE CHOICES NY INC
113508999	HBS HEALTHCARE ALUMNI ASSOCIATION INC
113517511	ASBESTOS WORKERS LOCAL 12 A HEALTH FUND
113519417	WYCKOFF HEIGHTS MEDICAL SERVICES PC FKA WYCKOFF ANESTHESIA MEDICAL SERVICES P
113535388	L REFUAH MEDICAL AND REHABILITATION CENTER INC
113538697	METROPOLITAN JEWISH HEALTH SYSTEM INC
113574493	ST MARYS HEALTHCARE SYSTEM FOR CHILDREN INC
113592081	CENTER FOR BEHAVIORAL HEALTH SERVICES INC
113614596	NEW YORK DOWNTOWN HOSPITAL CHINESE COMM PARTNSHP FOR HEALTH FDN INC
113623769	FIORELLO H LAGUARDIA COMMUNITY COLLEGE FOUNDATION INC
113626419	WYCKOFF HEIGHTS MEDICAL CENTER FOUNDATION
113650708	HEALTH ACCESS NETWORK INC
113660156	MEMORIAL COMMUNITY HOSPITAL FOUNDATION CORP
113661893	UNIVERSITY OF THE SEVEN RAYS
113664960	GATEWAY TO ORAL HEALTH FOUNDATION
113676983	PUBLIC HEALTH FOUNDATION OF NORTHWEST IL
113685135	FLORIDA GULF COAST UNIVERSITY FINANCING CORP
113686120	COAL COUNTRY COMMUNITY HEALTH CENTER
113703326	HEALTH AND SOCIAL POLICY INSTITUTE
113704359	NATIONAL HOCKEY LEAGUE HEALTH FUND CO WILLIAM L DALY III ESQ AND CRAIG HARNETT
113708851	UNIVERSITY OF PITTSBURGH AND UPMC MEDICAL AND HEALTH SCIENCES FOUNDATION
113716896	MEDICAL ASSOCIATES OF ERIE
113721039	JAMAICA COLLEGE OLD BOYS ASSOCIATION OF FLORIDA INC
113771348	FORWARD IN HEALTH INC
113804786	BARNESVILLE HOSPITAL FOUNDATION
113813698	CAMAI COMMUNITY HEALTH CENTER INC
113815948	LANGSTON UNIVERSITY FOUNDATION
113824934	ADDICTION MEDICINE FOUNDATION
113835563	MOUNT CARMEL HEALTH MINISTRIES INC
113843214	ARIZONA ASSISTANCE IN HEALTH CARE INC
116017810	ALUMNI FUND- ALUMNI ASSOCIATION- COLLEGE OF MEDICINE STATE UNIVERSI
116020737	COLLEGE POINT YACHT CLUB INC
116025896	MORICHES ROTARY HEALTH CAMP INC
116036253	BNAI BRITH HILLEL FOUNDATION AT BROOKLYN COLLEGE
116037195	PENINSULA HOSPITAL CENTER
116037678	BROOKLYN COLLEGE ALUMNI ASSOCIATION INC
116043757	CRAFT DIVISION OF LOCAL 1049 HEALTH AND WELFARE FUND
116076991	CHILDRENS MEDICAL FUND OF NEW YORK
116080521	QUEENS COLLEGE FOUNDATION INC
116080523	QUEENS COLLEGE STUDENT SERVICES CORPORATION
116112474	BNAI BRITH HILLEL FOUNDATION STONY BROOK UNIVERSITY
116490308	INTERNATIONAL BROTHERHOOD OF TRADE UNIONS HEALTH AND WELFARE FUND
130428061	ALUMNAE ASSOCIATION THE MOUNT SINAI HOSPITAL SCHOOL OF NURSING INC
130452368	ALUMNI ASSOCIATION OF THE CITY COLLEGE OF NEW YORK INC
130619260	DARTMOUTH COLLEGE CLUB INC CO EVAN B AZRILIANT
131030750	NEW YORK COUNTY MEDICAL SOCIETY
131030760	MEDICAL SOCIETY OF THE STATE OF NEW YORK
131088150	HEALTHCARE DISTRIBUTION ALLIANCE
131099420	NEW YORK MEDICAL COLLEGE
131101450	NEW YORK STATE HOSPITALITY AND TOURISM ASSOCIATION INC
131321440	SMITH COLLEGE CLUB OF NEW YORK INC
131429480	UNIVERSITY CLUB
131510821	1199SEIU UNITED HEALTHCARE WORKERS EAST
131552496	GREATER NEW YORK HOSPITAL ASSOCIATION
131562656	UNITED HOSPITAL FUND OF NEW YORK
131564856	LOCAL 888 HEALTH FUND
131568923	AMERICAN FRIENDS OF HEBREW UNIVERSITY INC
131595091	NEW YORK HOTEL TRADES COUNCIL AND HOTEL ASSOCIATION OF NEW YORK HEALTH CENTER IN
131599108	CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE
131614906	MENTAL HEALTH AMERICA INC
131623838	ENGENDERHEALTH INC
131623965	COLLEGE ENTRANCE EXAMINATION BOARD
131624107	NATIONAL HEALTH COUNCIL INC
131624123	NEW YORK FOUNDLING HOSPITAL
131624169	FLOATING HOSPITAL INC
131624202	TEACHERS COLLEGE COLUMBIA UNIVERSITY
131624225	YESHIVA UNIVERSITY
131624241	UNITED NEGRO COLLEGE FUND INC
131628149	BARNARD COLLEGE
131628206	MARYMOUNT MANHATTAN COLLEGE
131628401	1199SEIU NATIONAL BENEFIT FUND FOR HEALTH AND HUMAN SERVICE EMPLOYEES
131628688	AMERICAN PUBLIC HEALTH ASSOCIATION
131632522	NEW YORK COLLEGE OF PODIATRIC MEDICINE
131656681	POSTGRADUATE CENTER FOR MENTAL HEALTH
131656690	METROPOLITAN HOSPITAL AUXILIARY INC
131671148	COLLEGE ART ASSOCIATION OF AMERICA INC
131679614	NEW YORK STATE PODIATRIC MEDICAL ASSOCIATION
131681281	COLUMBIA UNIVERSITY - PRESBYTERIAN HOSPI SCHOOL OF NURSING ALUMNI ASSOCIATION IN
131683514	AMERICAN ASSOCIATION OF OCCUPATIONAL HEALTH NURSES INC
131691711	FACULTY STUDENT ASSOCIATION OF WESTCHESTER COMMUNITY COLLEGE INC
131699839	32BJ NORTH HEALTH FUND
131706303	FACULTY-STUDENT ASSOCIATION OF THE STATE UNIVERSITY OF NEW YORK MARITIME COLLEGE
131720610	MEDICAL SOCIETY OF THE COUNTY OF WESTCHESTER INC
131737041	WESTCHESTER HEAVY CONSTRUCTION LABORERS LOCAL 60 HEALTH AND WELFARE FUND
131739920	BETH ABRAHAM HEALTH SERVICES
131740002	MENTAL HEALTH ASSOCIATION OF WESTCHESTER COUNTY INC
131740022	LAWRENCE COMMUNITY HEALTH SERVICES
131740115	MOUNT VERNON HOSPITAL
131740117	SOUND SHORE MEDICAL CENTER OF WESTCHESTER
131740242	DOMINICAN SISTERS FAMILY HEALTH SERVICE INC
131740285	NYACK COLLEGE
131740445	COLLEGE OF MOUNT SAINT VINCENT
131740447	COLLEGE OF NEW ROCHELLE
131740448	CONCORDIA COLLEGE
131740451	FORDHAM UNIVERSITY
131740468	MANHATTAN COLLEGE
131740469	MANHATTANVILLE COLLEGE
131760098	CITY COLLEGE FUND
131768188	LOCAL 1102 HEALTH AND BENEFIT FUND
131809290	SCHOLARSHIP AND WELFARE FUND OF THE ALUMNI ASSOCIATION OF HUNTER COLLEGE INC
131810448	KINGS COLLEGE
131828429	HEALTH INSURANCE PLAN OF GREATER NEW YORK
131849594	JACOBI MEDICAL CENTER AUXILIARY INC CO KRISTEN VETTER
131856369	ARMENIAN MEDICAL FUND
131861926	AUXILIARY OF BS COLER MEMORIAL HOSPITAL INC
131867411	AMREF HEALTH AFRICA INC INC AMREF
131881832	MEDICAL LETTER INC
131882107	HEARING HEALTH FOUNDATION
131883814	AMERICAN COLLEGE OF GASTROENTEROLOGY
131911036	LOCAL 966 HEALTH FUND
131916574	NEW YORK CHIROPRACTIC COLLEGE
131930700	RIVERDALE MENTAL HEALTH ASSOCIATION INC
131931288	INTERNATIONAL UNION OF OPERATING ENGINEE LOCAL 25 MARINE DIVISION MEDICAL PLAN
131933825	CANCER RESEARCH FUND OF THE DAMON RUNYON-WALTER WINCHELL FOUNDATION
131934332	MEDICAL CENTER NURSERY SCHOOL
131935349	INTERNATIONAL COLLEGE - BEIRUT
131939109	EMPIRE STATE MEDICAL SCIENTIFIC AND EDUCATIONAL FOUNDATION INC
131940424	AMERICAN FRIENDS OF REUTH MEDICAL AND LIFE CARE CENTERS INC
131944395	UNIVERSITY CONSULTATION AND TREATMENT CENTER FOR THE MENTAL HYGIENE INC
131947453	AMERICAN FOUNDATION FOR THE UNIVERSITY OF THE WEST INDIES INC
131954023	MENTAL HEALTH ASSOCIATION IN NEW YORK STATE INC
131967321	MERCY COLLEGE
131967322	DOMINICAN COLLEGE OF BLAUVELT NY
131969305	ROCKLAND COMMUNITY COLLEGE ASSOCIATION
131973409	WINE LIQUOR AND DISTILLERY WORKERS UNION LOCAL 1-D MAJOR MEDICAL PLAN
131978310	COLLEGES AND UNIVERSITIES OF THE ANGLICAN COMMUNION
131978365	METROPOLITAN CENTER FOR MENTAL HEALTH INC
131978366	AMERICAN COLLEGE OF NEUROPSYCHIATRISTS
131985696	UNITY WELFARE FUND LOCAL 210
131988190	RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK
131995940	LUDHIANA CHRISTIAN MEDICAL COLLEGE BOARD USA INC
131996126	AMERICAN FRIENDS OF THE TEL AVIV UNIVERSITY INC
132506620	ASSOCIATION OF UNIVERSITY PRESSES INC
132513162	ST THOMAS AQUINAS COLLEGE
132553815	JOHN JAY COLLEGE OF CRIMINAL JUSTICE STUDENT ACTIVITIES ASSOCIATION INC
132574845	MENTAL HEALTH ASSOCIATION OF ROCKLAND COUNTY INC
132587538	CITY UNIVERSITY CONSTRUCTION FUND
132591538	UNIVERSITY PLAZA NURSERY SCHOOL
132601380	LEAGUE OF VOLUNTARY HOSPITALS AND HOMES OF NY
132603590	ACTION ON SMOKING AND HEALTH
132608471	HERBERT H LEHMAN COLLEGE AUXILIARY ENTERPRISES CORPORATION
132628055	TRAINING INSTITUTE FOR MENTAL HEALTH
132631069	PARKER JEWISH INSTITUTE FOR HEALTH CARE AND REHABILITATION
132633015	FOUNDATION FOR RELIGION AND MENTAL HEALTH INC
132634080	HEALTHCARE CHAPLAINCY INC DBA HEALTHCARE CHAPLAINCY NETWORK
132637308	MENTAL HEALTH ASSOCIATION OF NEW YORK CITY INC
132638049	PROFESSIONAL STAFF CONGRESS CITY UNIVERSITY OF NEW YORK
132643045	AGMA HEALTH FUND
132659322	DISTRICT COUNCIL 1707 HEALTH AND BENEFIT FUND
132661509	HERITAGE HEALTH AND HOUSING INC
132675671	ALBERT SHANKER COLLEGE SCHOLARSHIP FUND OF THE UNITED FEDERATION OF TEACHERS
132676570	TOURO COLLEGE
132687249	HOME HEALTH SERVICES OF WJCS INC
132690296	COMMUNITY HEALTH CARE ASSOCIATION OF NEW YORK STATE INC
132697725	BETANCES HEALTH CENTER
132707879	COMMISSION ON INDEPENDENT COLLEGES AND UNIVERSITIES
132707945	BRONXCARE DR MARTIN LUTHER KING JR HEALTH CENTER INC
132724055	AMERICAN FRIENDS OF KIRYAT SANZ LANIADO HOSPITAL INC
132729071	COALITION FOR BEHAVIORAL HEALTH INC
132735359	VELLORE CHRISTIAN MEDICAL COLLEGE FOUNDATION INC
132738779	ALLIED SECURITY HEALTH AND WELFARE FUND
132739694	CHARLES B WANG COMMUNITY HEALTH CENTER INC
132785353	EUGENIO MARIA DE HOSTOS COMMUNITY COLLEGE ASSOCIATION INC
132795647	JGB HEALTH FACILITIES CORPORATION
132813103	OPEN DOOR FAMILY MEDICAL CENTER INC
132828349	HUDSON RIVER HEALTHCARE INC
132832806	UFCW LOCAL 2013 HEALTH AND WELFARE FUND
132839979	UNITED COLLEGE EMPLOYEES OF FIT LOCAL 3457 AFL-CIO
132850142	ROYAL ARCH MEDICAL RESEARCH FOUNDATION INC
132861611	ST JOSEPHS HOSPITAL NURSING HOME OF YONKERS NY INC
132861992	AMERICAN FRIENDS OF ASSAF HAROFEH MEDICAL CENTER
132867881	LITTLE SISTERS OF THE ASSUMPTION FAMILY HEALTH SERVICE INC
132881104	CHILDRENS CENTER AT PURCHASE COLLEGE INC
132884976	WILLIAM F RYAN COMMUNITY HEALTH CENTER INC
132892895	UFTRTC SUPPLEMENTAL HEALTH INSURANCE PROGRAM
132893033	HYGEIA FOUNDATION FOR HEALTH SCIENCE AND THE ENVIRONMENT INC
132903051	SOCIETY OF UNIVERSITY SURGEONS INC
132911127	AMERICAN COUNCIL ON SCIENCE AND HEALTH
132914343	ST LUKES ROOSEVELT INSTITUTE FOR HEALTH SCIENCES
132922147	WHITNEY M YOUNG JR HEALTH CENTER INC
132928869	BUILDING SERVICE 32BJ HEALTH FUND
132929427	BAPTIST HEALTH NURSING AND REHABILITATION CENTER INC
132933777	COLLEGE OF STATEN ISLAND ASSOCIATION
132934132	NATIONAL INSTITUTE FOR REPRODUCTIVE HEALTH ACTION FUND INC
132936232	COLLEGE OF STATEN ISLAND AUXILIARY SERVICES
132953688	AMERICAN FRIENDS OF NEW COLLEGE LTD CO WINSTON J CHURCHILL JR
132954140	GREATER NEW YORK HOSPITAL FOUNDATION INC
132957943	SETTLEMENT HEALTH AND MEDICAL SERVICES INC
132958227	UNIVERSITYRESIDENT THEATRE ASSOCIATION
132958267	SDC LEAGUE HEALTH FUND
132962067	SUPERIOR OFFICERS COUNCIL RETIREE HEALTH AND WELFARE FUND
132977629	DETECTIVES ENDOWMENT ASSOCIATION HEALTH BENEFIT FUND
132979554	FRIENDS OF AIGLON COLLEGE INC
132980858	LOCAL 338 RWDSUUFCW HEALTH AND WELFARE FUND
132981115	OTIS COLLEGE OF ART AND DESIGN
133000532	DETECTIVES ENDOWMENT ASSOCIATION RETIREES HEALTH BENEFIT FUND
133007801	TERENCE CARDINAL COOKE HEALTH CARE CENTER
133010517	ECHO NATIONAL INSTITUTE FOR HEALTH
