EIN	Name	TotalFunctionalExpenses
205126945	BMH INC	118349386
205497506	WEST GEORGIA MEDICAL CENTER INC	182745381
208065139	PRIME HEALTHCARE FOUNDATION INC	1044578831
208072234	OAKLAND MERCY HOSPITAL	6956340
208295721	UPMC GROUP	13309997629
208316475	MAPLE GROVE HOSPITAL CORPORATION	174369722
208333607	Mid-Valley Healthcare Inc	4913494
208459270	ADVANCED CARE HOSPITAL OF WHITE COUNTY	5193419
208488713	Pasco-Pinellas Hillsborough Community	178474661
208756459	MACKINAC STRAITS HEALTH SYSTEM INC	47606997
210634462	The Cooper Health System A New Jersey	1320768707
210634484	INSPIRA MEDICAL CENTERS INC	470276389
210634532	VIRTUA - WEST JERSEY HEALTH SYSTEM INC	703949992
210634562	VIRTUA-MEMORIAL HOSPITAL BURLINGTON	318647811
210634572	Robert Wood Johnson University Hospital at	189807058
210634964	BACHARACH INSTITUTE FOR REHABILITATION	52224691
210635001	VIRTUA OUR LADY OF LOURDES HOSPITAL INC	455064256
210635009	PRINCETON HEALTHCARE SYSTEM A NEW JERSEY	448649059
210660835	SHORE MEMORIAL HOSPITAL	176131650
210662542	CAPE REGIONAL MEDICAL CENTER INC	132462993
221482276	THE MATHENY SCHOOL AND HOSPITAL INC	49172171
221487148	CHILDREN'S SPECIALIZED HOSPITAL	142085023
221487173	ENGLEWOOD HOSPITAL AND MEDICAL CENTER	651343071
221487243	ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL	1337612793
221487305	ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL	114506101
221487307	THE VALLEY HOSPITAL INC	720825562
221487322	HOLY NAME MEDICAL CENTER	412580544
221487330	SAINT PETER'S UNIVERSITY HOSPITAL	458461883
221487576	HMH HOSPITALS CORPORATION	1526177851
221494440	SAINT BARNABAS MEDICAL CENTER	810344718
221494454	ST LUKE'S WARREN HOSPITAL INC	127114034
221500556	CLARA MAASS MEDICAL CENTER	268355448
221537688	HUNTERDON MEDICAL CENTER	281182086
221546163	Christian Health Care Center	81361312
221714106	CARRIER CLINIC INC	78689376
221750190	Centrastate Medical Center Inc	283487460
221773439	KENNEDY UNIVERSITY HOSPITAL INC	570866608
221820210	INSPIRA MEDICAL CENTER WOODBURY INC	215154445
222325405	CAYUGA MEDICAL CENTER AT ITHACA	222777251
222472997	BROCKTON HOSPITAL INC	288576358
222519813	Baystate Wing Hospital Corporation	92029075
222520073	Holyoke Medical Center Inc	177738751
222537423	Baystate Noble Hospital Corporation	60109542
222547186	CENTRAL VERMONT MEDICAL CENTER INC	234241698
222563241	SOUTHWESTERN VERMONT MEDICAL CENTER INC	165815267
222592333	Southcoast Hospitals Group Inc	822696260
222594672	Concord Hospital Inc	531978827
222667354	BETH ISRAEL DEACONESS HOSPITAL-PLYMOUTH	280588733
222674014	Exeter Hospital Inc	252278042
222783298	JERSEY CITY MEDICAL CENTER	388013410
222807681	MEMORIAL HOSPITAL OF WILLIAM F AND GERTRUDE F JONES INC	41795553
222977312	SAINT BARNABAS BEHAVIORAL HEALTH CENTER	9966159
223227943	MORRIS HALL - ST LAWRENCE INC	58201703
223274755	SHORE REHABILITATION INSTITUTE INC	16888379
223431049	ST FRANCIS MEDICAL CENTER TRENTON NJ	144212645
223452306	COMMUNITY MEDICAL CENTER	370977491
223452311	NEWARK BETH ISRAEL MEDICAL CENTER	624309845
223452412	MONMOUTH MEDICAL CENTER	487820464
223548695	CAPITAL HEALTH SYSTEM INC	667027141
223601678	TRINITAS REGIONAL MEDICAL CENTER	314925734
223612265	VIRTUA WILLINGBORO HOSPITAL INC FKA	139855958
226019101	THE COMMUNITY HOSPITAL GROUP INC	512700603
230465970	THE CHAMBERSBURG HOSPITAL	331947504
230469150	CHESTER COUNTY HOSPITAL	350824812
230596940	ARIA HEALTH	495292266
230794160	GOOD SAMARITAN HOSPITAL	233353732
230880420	SCHUYLKILL MEDICAL CENTER - EAST	73807528
231352115	EAGLEVILLE HOSPITAL	46184892
231352152	ABINGTON MEMORIAL HOSPITAL	858567144
231352156	The American Oncologic Hospital	416595533
231352159	JC BLAIR MEMORIAL HOSPITAL	47803407
231352160	Main Line Hospitals Inc	1330266517
231352166	THE CHILDREN'S HOSPITAL OF PHILADELPHIA	2300467207
231352174	DOYLESTOWN HOSPITAL	316587781
231352181	Grand View Hospital	209160498
231352187	GEISINGER-LEWISTOWN HOSPITAL	119562725
231352191	MERCY CATHOLIC MEDICAL CENTER OF	364429325
231352202	LEHIGH VALLEY HOSPITAL - SCHUYLKILL	149824998
231352203	ST LUKE'S QUAKERTOWN HOSPITAL	102261654
231352204	READING HOSPITAL	895857466
231352208	SACRED HEART HOSPITAL OF ALLENTOWN	88642760
231352211	St Joseph Regional Health Network	258395020
231352213	ST LUKE'S HOSPITAL OF BETHLEHEM PA	871962658
231352220	GETTYSBURG HOSPITAL	215141260
231352222	YORK HOSPITAL	1126965315
231352685	TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA	7213047000
231360851	UPMC PINNACLE HANOVER	157641897
231360854	WAYNESBORO HOSPITAL	73265196
231365353	LANCASTER GENERAL HOSPITAL	1004609899
231370484	EPHRATA COMMUNITY HOSPITAL	228649890
231371947	THE GOOD SHEPHERD REHABILITATION	97033534
231381447	KENSINGTON HOSPITAL	9110933
231390618	The Devereux Foundation	473013176
231401561	FULTON COUNTY MEDICAL CENTER	55769636
231440116	TYRONE HOSPITAL	30642537
231476328	MAGEE REHABILITATION HOSPITAL	69297976
231512747	HOLY SPIRIT HOSPITAL OF THE SISTERS	289004752
231529076	Riddle Memorial Hospital	197493090
231534300	HOLY REDEEMER HEALTH SYSTEM	303337475
231548822	PHILHAVEN	88208922
231550955	DEBORAH HEART AND LUNG CENTER	185060356
231689692	LEHIGH VALLEY HOSPITAL	2082138746
231894907	MONTGOMERY COUNTY EMERGENCY SERVICE INC	16380537
231913910	ST MARY MEDICAL CENTER	389472222
231996150	GEISINGER WYOMING VALLEY MEDICAL	543030258
232176963	Soldiers and Sailors Memorial Hospital	67497527
232193572	GEISINGER-BLOOMSBURG HOSPITAL	52352181
232201344	TOWER HEALTH	695383340
232262852	JOHN HEINZ INSTITUTE OF REHABILITATION	33862515
232421970	NORTHEASTERN PENNSYLVANIA HEALTH CORP	121749250
232523395	ALLIED SERVICES INSTITUTE OF	39029084
232610538	NORTH PHILADELPHIA HEALTH SYSTEM	40527433
232654910	KIDSPEACE CHILDREN'S HOSPITAL	27923976
232720289	ENDLESS MOUNTAINS HEALTH SYSTEMS INC	22880779
232794121	NAZARETH HOSPITAL	168310387
232810852	PRESBYTERIAN MEDICAL CENTER OF THE UNIVERSITY	830318445
232825878	Temple University Hospital Inc	1267683382
232826045	Jeanes Hospital	158601509
232829095	THOMAS JEFFERSON UNIVERSITY HOSPITALS INC	1899988432
232899911	WELLSPAN SPECIALTY SERVICES	78577584
232935278	CHILDRENS INSTITUTE OF PITTSBURGH	47673727
233009874	THE ALLENTOWN SPECIALTY HOSPITAL INC	17801586
236000204	CITY OF PHILADELPHIA TRUSTEE	41811090
237010520	MARY BIRD PERKINS CANCER CENTER	35309876
237013497	MEMORIAL MEDICAL CENTER INC	96422587
237042323	INDIANA UNIVERSITY HEALTH BEDFORD INC	60694928
237067206	MISSISSIPPI METHODIST HOSPITAL &	59119229
237094247	Mt Graham Regional Medical Center Inc	64477496
237098532	SARAH BUSH LINCOLN HEALTH CENTER	325667468
237134386	HOULTON REGIONAL HOSPITAL	47586153
237161473	OSMOND GENERAL HOSPITAL INC	7958736
237169043	Central Montana Medical Facilities Inc	36631074
237218917	MONONGAHELA VALLEY HOSPITAL INC	133682261
237221763	THE UNITY HOSPITAL OF ROCHESTER	499668431
237246265	SAINT FRANCIS MEDICAL CENTER	527421759
237293874	KALISPELL REGIONAL MEDICAL CENTER	416923994
237314364	NAVAJO HEALTH FOUNDATION - SAGE MEMORIAL	37856232
237339737	LAKE REGIONAL HEALTH SYSTEM	173141019
237379161	SISTERS OF CHARITY OF LEAVENWORTH HEALTH	661500991
237424835	Chesapeake Hospital Corporation	44457296
237426289	HARRISBURG MEDICAL CENTER	73892589
237429117	MADERA COMMUNITY HOSPITAL	93635532
237441353	MONONGALIA COUNTY GENERAL HOSPITAL CO	295233222
240701920	BUCKTAIL MEDICAL CENTER	7299050
240786657	GUTHRIE TOWANDA MEMORIAL HOSPITAL	33955712
240792115	GEISINGER JERSEY SHORE HOSPITAL	28246604
240795411	EVANGELICAL COMMUNITY HOSPITAL	179821644
240795436	BLUE MOUNTAIN HOSPITAL INC	82377106
240795463	ROBERT PACKER HOSPITAL	338649082
240795508	The Williamsport Hospital	374949361
240795623	POCONO MEDICAL CENTER	234217322
240795682	MOUNT NITTANY MEDICAL CENTER	380727277
240795959	GEISINGER MEDICAL CENTER	1211264501
240798681	BARNES-KASSON COUNTY HOSPITAL	20373259
240798839	WAYNE MEMORIAL HOSPITAL	92375638
240799343	Divine Providence Hospital of the	47603608
240800337	TROY COMMUNITY HOSPITAL	25369843
240802108	CHARLES COLE MEMORIAL HOSPITAL	96321142
240806023	Muncy Valley Hospital	52653074
240862246	COMMUNITY MEDICAL CENTER	330585296
250585280	ELK REGIONAL HEALTH CENTER	61714776
250965210	PUNXSUTAWNEY AREA HOSPITAL INC	35741713
250965237	ARMSTRONG COUNTY MEMORIAL HOSPITAL	101813937
250965270	BRADFORD HOSPITAL	68630372
250965274	BUTLER HEALTHCARE PROVIDERS	286729834
250965292	THE CHILDREN'S HOME OF PITTSBURGH	16267651
250965404	INDIANA REGIONAL MEDICAL CENTER	164649135
250965406	UPMC JAMESON	114775039
250965570	SOMERSET COMMUNITY HOSPITAL	67966359
250965579	TITUSVILLE AREA HOSPITAL	33584519
250965588	Uniontown Hospital	128945508
250965598	WARREN GENERAL HOSPITAL	74394135
250965600	The Washington Hospital	233016511
250967480	OHIO VALLEY HOSPITAL	77259447
250979346	CLEARFIELD HOSPITAL	43791006
250984595	BROOKVILLE HOSPITAL	30421179
250987222	CORRY MEMORIAL HOSPITAL ASSOCIATION	25616648
251002937	MILLCREEK COMMUNITY HOSPTIAL	60266417
251010039	CLARION HOSPITAL	52431915
251244202	WINDBER HOSPITAL INC	45262752
251340370	GROVE CITY MEDICAL CENTER	45864528
251490707	DUBOIS REGIONAL MEDICAL CENTER	335078169
251494705	HIGHLANDS HOSPITAL	31748976
251512436	MEADVILLE MEDICAL CENTER	201929339
251550350	CARBON-SCHUYLKILL COMMUNITY HOSPITAL INC	89719413
251778644	UPMC PINNACLE HOSPITALS	966955176
251801532	VALLEY MEDICAL FACILITIES INC	373133401
251925187	University Medical Center Management	675912701
260335902	St Lukes Community Development Corporation The Woodlands	0
260479484	St Luke's-St Vincent's Healthcare Inc	172912982
260532528	THE PHYSICIAN'S HOSPITAL IN ANADARKO	65057929
260532635	STROUD REGIONAL MEDICAL CENTER	56045988
260792328	SCOTT REGIONAL MEDICAL CENTER INC	14037307
260806477	ASPIRUS ONTONAGON HOSPITAL INC	15564850
261150091	Meriwether Health Properties Inc	0
261175213	INNOVIS HEALTH LLC	396913526
261214372	BAPTIST MEMORIAL HOSPITAL-	216007416
261286647	BAPTIST HEALTH EXTENDED CARE HOSPITAL	16428900
261635811	CARSON TAHOE CONTINUING CARE HOSPITAL	9551123
261699000	PENNSYLVANIA PSYCHIATRIC INSTITUTE	38021885
261720984	GOOD SAMARITAN HOSPITAL INC	27567486
261861676	HUMPHREYS COUNTY COMMUNITY HEALTH	7664507
261938641	NORTH CANYON MEDICAL CENTER INC	31802510
261947374	St Lukes Community Development Corporation Sugar Land	96488410
261972987	Heartland Long Term Acute Care Hospital	11043017
262037695	GRADY MEMORIAL HOSPITAL CORPORATION	1599231464
262525968	ADVOCATE CONDELL MEDICAL CENTER	434800065
262772226	INDIANA UNIVERSITY HEALTH TIPTON HOSPITAL	37809457
263075429	El Paso Children's Hospital Corporation	123773285
263091251	Dimmit Regional Hospital	22762404
263162145	INDIANA UNIVERSITY HEALTH ARNETT INC	464201654
263173902	MERCY HOSPITAL HEALDTON	6934745
263359979	LANSDALE HOSPITAL CORPORATION	88105353
263734606	ST LUKES HOSPITAL AT THE VINTAGE	79958319
263778478	Cleveland Area Hospital Holdings Inc	16654227
263975185	PHOEBE SUMTER MEDICAL CENTER INC	76220599
264019868	Viera Hospital Inc	108479250
264021016	LUBBOCK HERITAGE HOSPITAL LLC	64554784
264166675	COLORADO WEST PSYCHIATRIC HOSPITAL INC	18050556
264230898	Barrett Hospital Development Corporation	35486698
264626264	ST MARTIN HOSPITAL INC	28264542
270440772	TUFTS MEDICAL CENTER GROUP RETURN	979577370
270712680	Beavercreek Medical Center	163075430
270814858	MERCY HOSPITAL JOPLIN	269347349
270842031	MERCY HOSPITAL COLUMBUS	5818055
270847538	St Vincent Salem Hospital Inc	17174938
271344467	ST JOSEPH'S HEALTH SYSTEM SUBORDINATE	803157874
271672159	KVC HOSPITALS INC	26517372
271757642	KEMPER CAH INC	21805062
271789847	SAINT ALPHONSUS MEDICAL CENTER -	74663395
271790052	SAINT ALPHONSUS MEDICAL CENTER -	37083671
271965272	ASCENSION VIA CHRISTI HOSPITAL WICHITA ST TERESA INC	34207895
272192831	St Vincent Dunn Hospital Inc	20035780
272305304	SWEDISH EDMONDS	188815022
272716065	MERCY HOSPITAL EL RENO	14092657
273026151	Scott & White Hospital - Llano	25297722
273128197	HIGHLAND-CLARKSBURG HOSPITAL INC	23053151
273208969	SENTARA PRINCESS ANNE HOSPITAL	236025439
273311774	St Luke's McCall Ltd	37724162
273418360	THE GRACE FOUNDATION FOR HEALTH	77921
273532963	INDIANA UNIVERSITY HEALTH WHITE MEMORIAL	31049786
273733278	St Lukes Community Development Corporation - PMC	0
273850988	UC Healthcare System	1800078195
273868479	SOUTHEAST HEALTH CENTER OF RIPLEY COUNTY	12323465
273970823	FIVE RIVERS MEDICAL CENTER INC	18633671
273993262	COMANCHE COUNTY MEDICAL CENTER COMPANY	25265657
274005511	Bellville St Joseph Health Center	14063423
274433830	MERCY HOSPITAL TISHOMINGO	9002447
274434451	Scott & White Hospital-College Station	182504717
274658935	MARTIN LUTHER KING JR-LOS ANGELES	316524585
275401105	Trinity Hospital Twin City	22479197
300078435	GREELEY COUNTY HEALTH SERVICES INC	11415213
300255522	PATHWAYS PSYCHIATRIC HOSPITAL INC	22584408
300752920	Trinity Health System Group	227241257
300975387	IVINSON MEMORIAL HOSPITAL	96664469
300999841	Piedmont Rockdale Hospital	200209873
310536662	The Fort Hamilton Hospital	131253468
310536981	GOOD SAMARITAN HOSPITAL	213721363
310537095	UPPER VALLEY MEDICAL CENTER	146799164
310537122	BETHESDA HOSPITAL INC	550510785
310537486	THE GOOD SAMARITAN HOSPITAL OF	539692366
310537504	Miami Valley Hospital	924586101
310538525	THE CHRIST HOSPITAL	1049620198
310564121	Dayton Osteopathic Hospital	437608531
310621866	Kettering Medical Center	752225143
310650283	MCCULLOUGH-HYDE MEMORIAL HOSPITAL	51684729
310672132	DAYTON CHILDREN'S HOSPITAL	398397021
310678022	SOUTHERN OHIO MEDICAL CENTER	366237249
310785684	Community Mercy Health Partners	314335805
310787073	MENTAL HEALTH SERVICES FOR CLARK CO INC	12231625
310809436	Greene Memorial Hospital	57756655
310833936	Children's Hospital Medical Center	2504932768
310929576	KNOX COMMUNITY HOSPITAL	163904001
310949874	MONROE MEDICAL FOUNDATION INC	19650801
310993422	GREENFIELD AREA MEDICAL CENTER	15934954
311072406	PIKE HEALTH SERVICES INC	18912154
311079309	ATRIUM MEDICAL CENTER	228796429
311097818	Preston Memorial Hospital	47235017
311118357	NORTH CENTRAL HEALTH SERVICES INC	19961368
311126469	MEMORIAL HEALTH UNIVERSITY MEDICAL	576567584
311131099	OHIO COUNTY HOSPITAL CORPORATION	44465267
311161086	Mercy Health	4524908505
311373080	MERCY HEALTH SERVICES - IOWA CORP	778612925
311439334	MOUNT CARMEL HEALTH SYSTEM	1297649746
311480941	GENESIS HEALTHCARE SYSTEM	388645747
311518658	POMERENE HOSPITAL	36873553
311524546	Camden-Clark Memorial Hospital Corporation	284248608
311538725	PENNSYLVANIA HOSPITAL OF THE	652361343
311626179	UNIVERSITY HEALTH SYSTEM INC	947005856
311657206	MADISON COUNTY COMMUNITY HOSPITAL	50011091
311667875	RIDGEVIEW MEDICAL CENTER	267719938
311716973	Bon Secours - St Francis Medical Center Inc	273236646
311724085	HOLZER MEDICAL CENTER - JACKSON	22371350
314379443	ADENA HEALTH SYSTEM	492588775
314379491	HOLZER HOSPITAL FOUNDATION	149205057
314379509	MARIETTA MEMORIAL HOSPITAL	470822849
314379519	LICKING MEMORIAL HOSPITAL	227004134
314391798	SOUTHEASTERN OHIO REGIONAL MEDICAL	102825730
314394942	OhioHealth Corporation	2845960417
314413259	SELBY GENERAL HOSPITAL	44309810
320007056	OhioHealth Corporation Group Return	1523189880
320090450	SOUTHERN CRESCENT HOSPITAL FOR SPECIALTY	8417217
320265031	MaineGeneral Health and Affiliates	552834829
320326595	HEART OF TEXAS HEALTHCARE SYSTEM	18308904
320453405	NORTHWEST MEDICAL CENTER INC	30731490
320483994	AULTMAN HEALTH FOUNDATION GROUP RETURN	743253342
320583236	Monroe Health Services Inc	45961467
330245579	LOMA LINDA UNIVERSITY BEHAVIORAL	43866678
330420041	SAN GORGONIO MEMORIAL HOSPITAL	74218027
330449527	Grossmont Hospital Corporation	757776037
330528802	CHILDREN'S HOSPITAL AT MISSION	73381190
331007002	TRINITY HEALTH & AFFILIATES	320987176
331065485	LEGACY SALMON CREEK HOSPITAL	355325395
331216751	Hughston Hospital INC	83176705
340714357	Children's Hospital Medical Center of Akron	841219240
340714479	GRACE HOSPITAL	11170908
340714581	ALLIANCE COMMUNITY HOSPITAL	103726487
340714583	CITY HOSPITAL ASSOCIATION	69813451
340714585	THE CLEVELAND CLINIC FOUNDATION	5582278577
340714643	BELMONT COMMUNITY HOSPITAL	13314390
340714756	ST VINCENT CHARITY MEDICAL CENTER	159577461
340714771	The Union Hospital Association	105747562
340719172	BARNESVILLE HOSPITAL ASSOCIATION INC	20662840
340726081	ASHTABULA COUNTY MEDICAL CENTER	147087833
340753531	SOUTHWEST GENERAL HEALTH CENTER	356416154
340898745	FOSTORIA HOSPITAL ASSOCIATION	36179936
341041385	Salem Community Hospital	105934502
341048666	COMMUNITY HOSPITALS & WELLNESS CENTERS	86552784
341369963	BLANCHARD VALLEY REGIONAL HEALTH CENTER	210930350
341407259	MARY RUTAN HOSPITAL	103482578
341425870	LAKE HOSPITAL SYSTEM INC	405062442
341445390	AULTMAN HEALTH FOUNDATION	51831509
341571750	HARRISON COMMUNITY HOSPITAL	21317409
341623770	JOINT TOWNSHIP DISTRICT	83313268
341883132	BAY PARK COMMUNITY HOSPITAL	82243327
341883284	LIMA MEMORIAL JOINT OPERATING COMPANY	184745906
